x-axis,1,2,F1
second,Volt,Volt,Volt
-3.340000E-03,-410.050247E-03,-107.627386E-03,-311.738065E-03
-3.335000E-03,-428.140699E-03,-104.310803E-03,-329.089995E-03
-3.330000E-03,-438.190950E-03,-99.667587E-03,-337.092803E-03
-3.325000E-03,-446.231151E-03,-97.677637E-03,-344.409941E-03
-3.320000E-03,-450.251251E-03,-91.707788E-03,-357.062285E-03
-3.315000E-03,-456.281402E-03,-87.727888E-03,-367.732696E-03
-3.310000E-03,-462.311553E-03,-89.054522E-03,-378.403106E-03
-3.305000E-03,-468.341704E-03,-86.401255E-03,-389.073517E-03
-3.300000E-03,-474.371854E-03,-81.094723E-03,-391.716095E-03
-3.295000E-03,-482.412055E-03,-78.441456E-03,-405.029084E-03
-3.290000E-03,-482.412055E-03,-74.461557E-03,-415.699494E-03
-3.285000E-03,-490.452256E-03,-72.471607E-03,-425.023591E-03
-3.280000E-03,-490.452256E-03,-67.828391E-03,-434.297639E-03
-3.275000E-03,-498.492457E-03,-62.521859E-03,-442.961092E-03
-3.270000E-03,-502.512557E-03,-58.541959E-03,-444.918001E-03
-3.265000E-03,-498.492457E-03,-51.908793E-03,-452.895784E-03
-3.260000E-03,-506.532658E-03,-49.255527E-03,-455.538362E-03
-3.255000E-03,-500.502507E-03,-48.592211E-03,-458.841585E-03
-3.250000E-03,-502.512557E-03,-41.295728E-03,-464.787386E-03
-3.245000E-03,-500.502507E-03,-37.315829E-03,-468.751253E-03
-3.240000E-03,-498.492457E-03,-35.989196E-03,-474.036410E-03
-3.235000E-03,-508.542708E-03,-30.682663E-03,-476.678988E-03
-3.230000E-03,-506.532658E-03,-25.376130E-03,-476.628939E-03
-3.225000E-03,-498.492457E-03,-20.732914E-03,-484.606723E-03
-3.220000E-03,-490.452256E-03,-17.416331E-03,-481.864047E-03
-3.215000E-03,-492.462306E-03,-12.773115E-03,-487.149203E-03
-3.210000E-03,-494.472357E-03,-8.129899E-03,-489.791781E-03
-3.205000E-03,-488.442206E-03,-4.150000E-03,-487.049105E-03
-3.200000E-03,-482.412055E-03,-1.496734E-03,-481.663851E-03
-3.195000E-03,-480.402005E-03,+4.473116E-03,-486.949008E-03
-3.190000E-03,-474.371854E-03,+7.789698E-03,-485.577670E-03
-3.185000E-03,-464.321603E-03,+10.442965E-03,-479.481722E-03
-3.180000E-03,-458.291452E-03,+17.076130E-03,-484.106234E-03
-3.175000E-03,-452.261302E-03,+21.056030E-03,-479.381625E-03
-3.170000E-03,-454.271352E-03,+25.035929E-03,-479.992221E-03
